,name,mpg,cylinders,displacement,weight,acceleration,model_year,origin
0,chevrolet chevelle malibu,0.2393617021276596,8.0,0.6175710594315246,0.5361497022965694,0.2380952380952381,70,usa
1,buick skylark 320,0.1595744680851064,8.0,0.7286821705426356,0.5897363198185428,0.20833333333333334,70,usa
2,plymouth satellite,0.2393617021276596,8.0,0.6459948320413438,0.5168698610717324,0.17857142857142855,70,usa
3,amc rebel sst,0.18617021276595747,8.0,0.6098191214470284,0.5160192798412249,0.2380952380952381,70,usa
4,ford torino,0.21276595744680854,4.0,0.6046511627906976,0.5205557130705983,0.14880952380952384,70,usa
5,ford galaxie 500,0.1595744680851064,8.0,0.9328165374677002,0.7734618656081658,0.11904761904761907,70,usa
6,chevrolet impala,0.13297872340425537,8.0,0.9974160206718345,0.33583782251204997,0.059523809523809534,70,usa
7,plymouth fury iii,0.13297872340425537,8.0,0.9612403100775193,0.7652395803799263,0.02976190476190471,70,usa
8,pontiac catalina,0.13297872340425537,8.0,1.0,0.7972781400623761,0.11904761904761907,70,usa
9,amc ambassador dpl,0.1595744680851064,8.0,0.8320413436692506,0.6342500708817693,0.02976190476190471,70,usa
10,dodge challenger se,0.1595744680851064,8.0,0.813953488372093,0.5528777998298838,0.11904761904761907,70,usa
11,plymouth 'cuda 340,0.13297872340425537,8.0,0.702842377260982,0.5659200453643324,0.0,70,usa
12,chevrolet monte carlo,0.1595744680851064,4.0,0.8578811369509044,0.6090161610433797,0.0892857142857143,70,usa
13,buick estate wagon (sw),0.13297872340425537,8.0,1.0,0.4176353841791892,0.11904761904761907,70,usa
14,toyota corona mark ii,0.398936170212766,4.0,0.11627906976744187,0.21519705131840094,0.4166666666666667,70,japan
15,plymouth duster,0.34574468085106386,6.0,0.3359173126614987,0.3459030337397222,,70,usa
16,amc hornet,0.2393617021276596,6.0,0.3385012919896641,0.32917493620640775,0.44642857142857145,70,usa
17,ford maverick,0.3191489361702128,6.0,0.3410852713178295,0.2761553728381061,0.4761904761904762,70,usa
18,datsun pl510,0.4787234042553192,4.0,0.0749354005167959,0.14658349872412818,0.3869047619047619,70,japan
19,volkswagen 1131 deluxe sedan,0.4521276595744681,4.0,0.0749354005167959,0.06294301105755606,0.7440476190476191,70,europe
20,peugeot 504,0.4255319148936171,4.0,0.10852713178294576,0.30025517436915233,0.5654761904761905,70,europe
21,audi 100 ls,0.398936170212766,4.0,0.10077519379844965,0.23164162177487957,0.3869047619047619,70,europe
22,saab 99e,0.4255319148936171,4.0,0.09302325581395354,0.21604763254890846,0.5654761904761905,70,europe
23,bmw 2002,0.4521276595744681,4.0,0.13695090439276486,0.17607031471505533,,70,europe
24,amc gremlin,0.3191489361702128,6.0,0.3385012919896641,0.29345052452509224,0.4166666666666667,70,usa
25,ford f250,0.026595744680851074,8.0,0.7545219638242895,0.8511482846611853,0.35714285714285715,70,usa
26,chevy c20,0.026595744680851074,8.0,0.6175710594315246,0.78338531329742,0.4166666666666667,70,usa
27,dodge d200,0.05319148936170215,8.0,0.6459948320413438,0.785086475758435,0.32738095238095244,70,usa
28,hi 1200d,0.0,8.0,0.6098191214470284,0.8843209526509783,0.625,70,usa
29,datsun pl510,0.4787234042553192,4.0,0.0749354005167959,0.14658349872412818,0.3869047619047619,71,japan
30,chevrolet vega 2300,0.5053191489361702,4.0,0.186046511627907,0.18457612702013046,0.44642857142857145,71,usa
31,toyota corona,0.4255319148936171,4.0,0.11627906976744187,0.17436915225404032,0.35714285714285715,71,japan
32,ford pinto,0.4255319148936171,4.0,0.07751937984496127,0.12276722426991782,0.6547619047619048,71,usa
33,amc gremlin,0.2659574468085107,6.0,0.42377260981912146,0.28948114544939046,0.29761904761904767,71,usa
34,plymouth satellite custom,0.18617021276595747,6.0,0.40568475452196384,0.5177204423022399,0.44642857142857145,71,usa
